#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,5,0,0.0,0,0.0,0,0.0,0,0.36668276,366682760,false,,0,
2,20,0,0.018309585,18309585,0.0,0,0.0,0,0.167766883,167766883,false,,6,
3,24,0,0.032568475,32568475,0.0,0,0.0,0,0.273668057,273668057,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,5,0,0.0,0,0.0,0,0.0,0,0.337195742,337195742,false,,0,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,11,0,0.028734027,28734027,0.0,0,0.0,0,0.360445854,360445854,false,,1,
2,20,0,0.045470335,45470335,0.0,0,0.0,0,0.295068176,295068176,false,,6,
3,24,0,0.063630139,63630139,0.0,0,0.0,0,0.455508854,455508854,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,13,0,0.031991774,31991774,0.0,0,0.0,0,0.393777783,393777783,false,,2,
2,20,0,0.044411826,44411826,0.0,0,0.0,0,0.274107766,274107766,false,,6,
3,24,0,0.041228578,41228578,0.0,0,0.0,0,0.510419885,510419885,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,5,0,0.0,0,0.0,0,0.0,0,0.637536723,637536723,false,,0,
2,20,0,0.040039589,40039589,0.0,0,0.0,0,0.242040542,242040542,false,,6,
3,24,0,0.059007913,59007913,0.0,0,0.0,0,0.46580666,465806660,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,5,0,0.0,0,0.0,0,0.0,0,0.371936109,371936109,false,,0,
2,20,0,0.031686816,31686816,0.0,0,0.0,0,0.2592385,259238500,false,,6,
3,24,0,0.07311655,73116550,0.0,0,0.0,0,0.501977528,501977528,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,6,0,0.0,0,0.0,0,0.0,0,0.310261658,310261658,false,,0,
2,20,0,0.03317576,33175760,0.0,0,0.0,0,0.231412702,231412702,false,,6,
3,24,0,0.045074845,45074845,0.0,0,0.0,0,0.474955494,474955494,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,10,0,1.13527478,1135274780,0.0,0,0.0,0,1.473521378,1473521378,false,,1,
2,20,0,0.035854874,35854874,0.0,0,0.0,0,0.292564456,292564456,false,,6,
3,24,0,0.050208913,50208913,0.0,0,0.0,0,0.52255427,522554270,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,10,0,1.037215773,1037215773,0.0,0,0.0,0,1.352314724,1352314724,false,,1,
2,20,0,0.047317947,47317947,0.0,0,0.0,0,0.225489527,225489527,false,,6,
3,24,0,0.068338552,68338552,0.0,0,0.0,0,0.485472398,485472398,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,10,0,0.024667707,24667707,0.0,0,0.0,0,0.348652705,348652705,false,,1,
2,20,0,0.046047694,46047694,0.0,0,0.0,0,0.237531971,237531971,false,,6,
3,24,0,0.066621636,66621636,0.0,0,0.0,0,0.50561391,505613910,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,12,0,0.024558698,24558698,0.0,0,0.0,0,0.322155941,322155941,false,,2,
2,20,0,0.049205641,49205641,0.0,0,0.0,0,0.286871152,286871152,false,,6,
3,24,0,0.052711327,52711327,0.0,0,0.0,0,0.478639441,478639441,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,12,0,0.023422725,23422725,0.0,0,0.0,0,0.353438065,353438065,false,,2,
2,20,0,0.048918131,48918131,0.0,0,0.0,0,0.275468408,275468408,false,,6,
3,24,0,0.058763478,58763478,0.0,0,0.0,0,0.522071403,522071403,false,,8,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,10,0,0.025159359,25159359,0.0,0,0.0,0,0.345703882,345703882,false,,1,
#Criteria,#Nodes,Number of execution,SelectFragments Seconds,SelectFragments Nano seconds,Composition Seconds,Composition Nano seconds,EngineSpecific Seconds,EngineSpecific Nano seconds,Experiment Seconds,Experiment Nano seconds,Model Found,Model Path,#Tried Combinations,Success Combination
2,15,0,0.141298321,141298321,0.001332273,1332273,0.0,0,1.783727723,1783727723,false,,3,
